time_rounded,meter_id,energy_heat_kwh,volume_flow_m3,current_power,t_supply,t_return
2018-01-03 00:00:00+00:00,30,6409.7,145.8,3.0,66.4,27.7
2018-01-03 01:00:00+00:00,30,6411.9,145.9,2.2,66.4,27.7
2018-01-03 02:00:00+00:00,30,6414.7,145.9,2.8,66.4,27.7
2018-01-03 03:00:00+00:00,30,6417.7,146.0,3.0,66.4,27.7
2018-01-03 04:00:00+00:00,30,6420.7,146.0,3.0,66.4,27.7
2018-01-03 05:00:00+00:00,30,6422.9,146.1,2.2,66.4,27.7
2018-01-03 06:00:00+00:00,30,6425.8,146.2,2.9,66.4,27.7
2018-01-03 07:00:00+00:00,30,6428.8,146.2,3.0,66.4,27.7
2018-01-03 08:00:00+00:00,30,6431.8,146.3,3.0,66.4,27.7
2018-01-03 09:00:00+00:00,30,6434.8,146.3,3.0,66.4,27.7
2018-01-03 10:00:00+00:00,30,6437.7,146.4,2.9,66.4,27.7
2018-01-03 11:00:00+00:00,30,6440.7,146.5,3.0,66.4,27.7
2018-01-03 12:00:00+00:00,30,6443.7,146.5,3.0,66.4,27.7
2018-01-03 13:00:00+00:00,30,6447.6,146.6,3.9,66.4,27.7
2018-01-03 14:00:00+00:00,30,6450.8,146.7,3.2,66.4,27.7
2018-01-03 15:00:00+00:00,30,6453.7,146.7,2.9,66.4,27.7
2018-01-03 16:00:00+00:00,30,6456.7,146.8,3.0,66.4,27.7
2018-01-03 17:00:00+00:00,30,6459.8,146.9,3.1,66.4,27.7
2018-01-03 18:00:00+00:00,30,6462.8,146.9,3.0,66.4,27.7
2018-01-03 19:00:00+00:00,30,6465.8,147.0,3.0,66.4,27.7
2018-01-03 20:00:00+00:00,30,6468.7,147.1,2.9,66.4,27.7
2018-01-03 21:00:00+00:00,30,6471.7,147.1,3.0,66.4,27.7
2018-01-03 22:00:00+00:00,30,6473.8,147.2,2.1,66.4,27.7
2018-01-03 23:00:00+00:00,30,6476.7,147.2,2.9,66.4,27.7
2018-01-04 00:00:00+00:00,30,6479.7,147.3,3.0,66.4,27.7
2018-01-04 01:00:00+00:00,30,6481.8,147.3,2.1,66.4,27.7
2018-01-04 02:00:00+00:00,30,6484.7,147.4,2.9,66.4,27.7
