time_rounded,meter_id,energy_heat_kwh,volume_flow_m3,current_power,t_supply,t_return
2018-01-03 00:00:00+00:00,2,4994.8,101.7,4.5,72.5,29.1
2018-01-03 01:00:00+00:00,2,4999.2,101.8,4.4,72.5,29.1
2018-01-03 02:00:00+00:00,2,5003.5,101.9,4.3,72.4,29.1
2018-01-03 03:00:00+00:00,2,5007.7,102.0,4.2,72.4,29.1
2018-01-03 04:00:00+00:00,2,5011.9,102.1,4.2,72.4,29.1
2018-01-03 05:00:00+00:00,2,5016.8,102.2,4.9,72.4,29.1
2018-01-03 06:00:00+00:00,2,5021.9,102.3,5.1,72.4,29.1
2018-01-03 07:00:00+00:00,2,5027.6,102.4,5.7,72.4,29.1
2018-01-03 08:00:00+00:00,2,5032.7,102.5,5.1,72.5,29.1
2018-01-03 09:00:00+00:00,2,5037.7,102.6,5.0,72.5,29.1
2018-01-03 10:00:00+00:00,2,5042.5,102.7,4.8,72.5,29.2
2018-01-03 11:00:00+00:00,2,5047.0,102.8,4.5,72.5,29.2
2018-01-03 12:00:00+00:00,2,5051.7,102.9,4.7,72.5,29.2
2018-01-03 13:00:00+00:00,2,5056.1,103.0,4.4,72.5,29.2
2018-01-03 14:00:00+00:00,2,5061.0,103.1,4.9,72.5,29.2
2018-01-03 15:00:00+00:00,2,5065.3,103.2,4.3,72.5,29.2
2018-01-03 16:00:00+00:00,2,5069.2,103.3,3.9,72.5,29.2
2018-01-03 17:00:00+00:00,2,5074.6,103.4,5.4,72.5,29.2
2018-01-03 18:00:00+00:00,2,5078.6,103.5,4.0,72.5,29.2
2018-01-03 19:00:00+00:00,2,5082.2,103.6,3.6,72.4,29.2
2018-01-03 20:00:00+00:00,2,5086.4,103.7,4.2,72.4,29.2
2018-01-03 21:00:00+00:00,2,5089.9,103.8,3.5,72.4,29.2
2018-01-03 22:00:00+00:00,2,5093.8,103.8,3.9,72.5,29.2
2018-01-03 23:00:00+00:00,2,5097.9,103.9,4.1,72.5,29.2
2018-01-04 00:00:00+00:00,2,5101.6,104.0,3.7,72.4,29.2
2018-01-04 01:00:00+00:00,2,5106.3,104.1,4.7,72.4,29.2
2018-01-04 02:00:00+00:00,2,5110.2,104.2,3.9,72.4,29.2
2018-01-04 03:00:00+00:00,2,5114.8,104.3,4.6,72.4,29.2
2018-01-04 04:00:00+00:00,2,5118.9,104.3,4.1,72.5,29.2
2018-01-04 05:00:00+00:00,2,5123.1,104.4,4.2,72.5,29.2
2018-01-04 06:00:00+00:00,2,5126.9,104.5,3.8,72.4,29.2
2018-01-04 07:00:00+00:00,2,5130.8,104.6,3.9,72.4,29.2
2018-01-04 08:00:00+00:00,2,5135.1,104.7,4.3,72.4,29.1
2018-01-04 09:00:00+00:00,2,5139.8,104.8,4.7,72.4,29.1
2018-01-04 10:00:00+00:00,2,5143.3,104.8,3.5,72.5,29.2
2018-01-04 11:00:00+00:00,2,5147.0,104.9,3.7,72.4,29.2
2018-01-04 12:00:00+00:00,2,5150.9,105.0,3.9,72.4,29.1
2018-01-04 13:00:00+00:00,2,5155.1,105.1,4.2,72.4,29.1
2018-01-04 14:00:00+00:00,2,5159.8,105.1,4.7,72.5,29.2
2018-01-04 15:00:00+00:00,2,5165.7,105.3,5.9,72.4,29.1
2018-01-04 16:00:00+00:00,2,5169.0,105.3,3.3,72.5,29.2
2018-01-04 17:00:00+00:00,2,5173.3,105.4,4.3,72.4,29.1
2018-01-04 18:00:00+00:00,2,5177.8,105.5,4.5,72.4,29.1
2018-01-04 19:00:00+00:00,2,5181.5,105.6,3.7,72.4,29.1
2018-01-04 20:00:00+00:00,2,5185.8,105.7,4.3,72.4,29.1
2018-01-04 21:00:00+00:00,2,5189.2,105.7,3.4,72.5,29.2
2018-01-04 22:00:00+00:00,2,5193.1,105.8,3.9,72.4,29.1
2018-01-04 23:00:00+00:00,2,5196.2,105.9,3.1,72.4,29.1
2018-01-05 00:00:00+00:00,2,5200.0,106.0,3.8,72.4,29.1
2018-01-05 01:00:00+00:00,2,5204.0,106.0,4.0,72.5,29.2
2018-01-05 02:00:00+00:00,2,5208.2,106.1,4.2,72.5,29.2
2018-01-05 03:00:00+00:00,2,5212.8,106.2,4.6,72.4,29.1
2018-01-05 04:00:00+00:00,2,5216.5,106.3,3.7,72.4,29.1
2018-01-05 05:00:00+00:00,2,5220.7,106.4,4.2,72.4,29.1
2018-01-05 06:00:00+00:00,2,5225.0,106.5,4.3,72.4,29.1
2018-01-05 07:00:00+00:00,2,5229.8,106.6,4.8,72.4,29.1
2018-01-05 08:00:00+00:00,2,5234.1,106.6,4.3,72.5,29.1
2018-01-05 09:00:00+00:00,2,5239.5,106.7,5.4,72.5,29.1
2018-01-05 10:00:00+00:00,2,5244.1,106.8,4.6,72.4,29.1
2018-01-05 11:00:00+00:00,2,5248.9,106.9,4.8,72.4,29.1
2018-01-05 12:00:00+00:00,2,5253.3,107.0,4.4,72.4,29.1
2018-01-05 13:00:00+00:00,2,5257.0,107.1,3.7,72.4,29.1
2018-01-05 14:00:00+00:00,2,5267.0,107.2,10.0,72.5,29.1
2018-01-05 15:00:00+00:00,2,5273.0,107.4,6.0,72.4,29.1
2018-01-05 16:00:00+00:00,2,5281.1,107.5,8.1,72.4,29.1
2018-01-05 17:00:00+00:00,2,5285.0,107.6,3.9,72.4,29.1
2018-01-05 18:00:00+00:00,2,5288.9,107.7,3.9,72.4,29.1
2018-01-05 19:00:00+00:00,2,5293.0,107.7,4.1,72.5,29.1
2018-01-05 20:00:00+00:00,2,5296.9,107.8,3.9,72.4,29.1
2018-01-05 21:00:00+00:00,2,5301.8,107.9,4.9,72.4,29.1
2018-01-05 22:00:00+00:00,2,5305.5,108.0,3.7,72.4,29.1
2018-01-05 23:00:00+00:00,2,5309.9,108.1,4.4,72.4,29.1
2018-01-06 00:00:00+00:00,2,5313.9,108.2,4.0,72.4,29.1
